nohup: ignoring input
ROUGE Score: 0.692308
***** Case No.258 *****
BLEU Score: 0.613017
METEOR Score: 0.723766
ROUGE Score: 0.720000
***** Case No.259 *****
BLEU Score: 1.000000
METEOR Score: 0.999914
ROUGE Score: 1.000000
***** Case No.260 *****
BLEU Score: 0.442662
METEOR Score: 0.860625
ROUGE Score: 0.555556
***** Case No.261 *****
BLEU Score: 0.277185
METEOR Score: 0.816839
ROUGE Score: 0.333333
***** Case No.262 *****
BLEU Score: 0.640362
METEOR Score: 0.938658
ROUGE Score: 0.731707
***** Case No.263 *****
BLEU Score: 0.362001
METEOR Score: 0.879698
ROUGE Score: 0.322581
***** Case No.264 *****
BLEU Score: 1.000000
METEOR Score: 0.999927
ROUGE Score: 1.000000
***** Case No.265 *****
BLEU Score: 0.258095
METEOR Score: 0.406127
ROUGE Score: 0.357143
***** Case No.266 *****
BLEU Score: 0.371781
METEOR Score: 0.563589
ROUGE Score: 0.444444
***** Case No.267 *****
BLEU Score: 0.039601
METEOR Score: 0.329749
ROUGE Score: 0.105263
***** Case No.268 *****
BLEU Score: 0.824237
METEOR Score: 0.908749
ROUGE Score: 0.823529
***** Case No.269 *****
BLEU Score: 0.693396
METEOR Score: 0.933305
ROUGE Score: 0.774194
***** Case No.270 *****
BLEU Score: 1.000000
METEOR Score: 0.999711
ROUGE Score: 1.000000
***** Case No.271 *****
BLEU Score: 0.897077
METEOR Score: 0.945205
ROUGE Score: 0.909091
***** Case No.272 *****
BLEU Score: 0.602527
METEOR Score: 0.946630
ROUGE Score: 0.689655
***** Case No.273 *****
BLEU Score: 1.000000
METEOR Score: 0.999852
ROUGE Score: 1.000000
***** Case No.274 *****
